id,start,end,type,data
1,2019-07-01,2019-07-21,guest,"Pendaftaran Olimpiade Early Bird Sudah dibuka ! "
2,2019-07-22,2019-09-08,guest,"Pendaftaran Olimpiade Gelombang 1 Sudah Dibuka !"
3,2019-09-09,2019-10-27,guest,"Pendaftaran Olimpiade Gelombang 2"
4,2019-11-03,2019-11-03,guest,"Babak Penyisihan (Online)"
5,2019-11-16,2019-11-16,guest,"Semi Final Olimpiade"
6,2019-11-17,2019-11-17,guest,"Final Olimpiade"
15,2019-07-01,2019-08-25,guest,"Pendaftaran Development Competition"
16,2019-07-26,2019-09-02,guest,"Pengumpulan Poster dan Gambaran Umum"
17,2019-09-05,2019-09-05,guest,"Pengumuman Tahap 1"
18,2019-09-05,2019-09-08,guest,"Pembayaran partisipasi ke Tahap 2"
19,2019-09-09,2019-09-21,guest,"Pengumpulan Proposal"
20,2019-09-28,2019-09-28,guest,"Pengumuman Tahap 2"
21,2019-09-28,2019-10-26,guest,"Pengumpulan Laporan Progress dan Video Teaser"
22,2019-11-02,2019-11-02,guest,"Pengumuman Final Development Competition"
23,2019-11-17,2019-11-17,guest,"Final Development Competition"
24,2019-07-01,2019-10-06,guest,"Pendaftaran E-Sport Competition"
25,2019-10-11,2019-10-11,guest,"DOTA 2: Group Stage"
26,2019-10-12,2019-10-12,guest,"DOTA 2: Semifinal"
27,2019-10-13,2019-10-13,guest,"DOTA 2: Final"
28,2019-10-25,2019-10-25,guest,"CSGO: Group Stage"
29,2019-10-26,2019-10-26,guest,"CSGO: Semifinal & Final"
30,2019-11-01,2019-11-01,guest,"PUBGM: Group Stage"
31,2019-11-02,2019-11-02,guest,"PUBGM: Semifinal"
32,2019-11-03,2019-11-03,guest,"PUBGM: Final"
33,2019-11-08,2019-11-08,guest,"Mobile Legends: Group Stage"
34,2019-11-09,2019-11-09,guest,"Mobile Legends: Semifinal"
35,2019-11-17,2019-11-17,guest,"Mobile Legends: Final OFFLINE di Surabaya"
36,2019-07-01,2019-11-17,guest,"Timeline bisa berubah sewaktu-waktu. Pastikan kamu selalu mengecek pengumuman di website ini!"
37,2019-07-01,2019-10-27,olim,"Ayo ajak teman-temanmu untuk mendaftar sebelum 27 Oktober 2019 pukul 23.59 WIB"
38,2019-07-01,2019-07-21,olim,"Harga Early Bird hanya berlaku sampai 21 Juli 2019 pukul 23.59 WIB"
39,2019-07-22,2019-09-08,olim,"Harga Gelombang 1 hanya berlaku sampai 8 September 2019 pukul 23.59 WIB"
40,2019-09-08,2019-10-27,olim,"Harga Gelombang 2 hanya berlaku sampai 27 Oktober 2019 pukul 23.59 WIB"
